destination,region,date,platform,sentiment,score,aspect,language,reviewer_type,year,month,period
Costa Brava,Cataluña,2024-06-20,TripAdvisor,Negativo,1.1,Gastronomía,es,Familia,2024,6,2024-06
Costa del Sol,Andalucía,2024-06-20,Google Reviews,Positivo,5.0,Alojamiento,en,Pareja,2024,6,2024-06
Mallorca,Islas Baleares,2024-06-20,Google Reviews,Negativo,2.2,Masificación,en,Pareja,2024,6,2024-06
San Sebastián,País Vasco,2024-06-21,TripAdvisor,Neutro,2.7,Limpieza,fr,Pareja,2024,6,2024-06
Ronda,Andalucía,2024-06-21,Airbnb,Negativo,1.6,Atractivos,fr,Pareja,2024,6,2024-06
San Sebastián,País Vasco,2024-06-21,Booking.com,Neutro,3.4,Atractivos,fr,Solo,2024,6,2024-06
Extremadura,Extremadura,2024-06-22,Google Reviews,Positivo,3.7,Transporte,en,Pareja,2024,6,2024-06
Teruel,Aragón,2024-06-22,Booking.com,Positivo,4.1,Masificación,en,Amigos,2024,6,2024-06
Granada,Andalucía,2024-06-22,Google Reviews,Negativo,1.9,Limpieza,de,Familia,2024,6,2024-06
Costa del Sol,Andalucía,2024-06-22,Airbnb,Positivo,3.7,Gastronomía,it,Pareja,2024,6,2024-06
San Sebastián,País Vasco,2024-06-24,Google Reviews,Positivo,4.9,Atractivos,en,Negocios,2024,6,2024-06
Costa Brava,Cataluña,2024-06-24,TripAdvisor,Negativo,1.6,Precio,de,Pareja,2024,6,2024-06
Madrid,Madrid,2024-06-25,Booking.com,Positivo,4.8,Precio,fr,Pareja,2024,6,2024-06
Tenerife,Islas Canarias,2024-06-25,TripAdvisor,Positivo,3.6,Alojamiento,fr,Pareja,2024,6,2024-06
Tenerife,Islas Canarias,2024-06-26,Google Reviews,Negativo,1.5,Transporte,it,Amigos,2024,6,2024-06
Granada,Andalucía,2024-06-26,Airbnb,Positivo,3.7,Transporte,de,Amigos,2024,6,2024-06
Mallorca,Islas Baleares,2024-06-27,Google Reviews,Positivo,3.5,Precio,es,Pareja,2024,6,2024-06
Picos de Europa,Asturias/Cantabria,2024-06-27,Google Reviews,Positivo,4.5,Precio,es,Familia,2024,6,2024-06
Valencia,Comunidad Valenciana,2024-06-27,Airbnb,Positivo,4.8,Limpieza,en,Pareja,2024,6,2024-06
Barcelona,Cataluña,2024-06-27,Google Reviews,Negativo,1.3,Atractivos,it,Solo,2024,6,2024-06
Extremadura,Extremadura,2024-06-28,Google Reviews,Neutro,3.2,Gastronomía,es,Negocios,2024,6,2024-06
Valencia,Comunidad Valenciana,2024-06-29,Airbnb,Positivo,4.6,Alojamiento,es,Negocios,2024,6,2024-06
Sevilla,Andalucía,2024-06-29,Booking.com,Positivo,3.8,Precio,en,Pareja,2024,6,2024-06
Costa Brava,Cataluña,2024-06-30,Google Reviews,Negativo,2.0,Gastronomía,es,Amigos,2024,6,2024-06
Sevilla,Andalucía,2024-06-30,Airbnb,Positivo,4.0,Gastronomía,es,Pareja,2024,6,2024-06
Picos de Europa,Asturias/Cantabria,2024-06-30,Booking.com,Positivo,3.5,Gastronomía,fr,Familia,2024,6,2024-06
Costa del Sol,Andalucía,2024-07-01,Booking.com,Positivo,4.2,Precio,de,Negocios,2024,7,2024-07
Granada,Andalucía,2024-07-01,Google Reviews,Positivo,4.8,Precio,en,Pareja,2024,7,2024-07
Granada,Andalucía,2024-07-01,Google Reviews,Positivo,3.5,Precio,fr,Pareja,2024,7,2024-07
Costa del Sol,Andalucía,2024-07-02,Google Reviews,Negativo,2.2,Masificación,es,Solo,2024,7,2024-07
Sevilla,Andalucía,2024-07-03,Google Reviews,Positivo,4.9,Masificación,es,Pareja,2024,7,2024-07
Ronda,Andalucía,2024-07-05,Google Reviews,Positivo,3.8,Gastronomía,es,Familia,2024,7,2024-07
Costa del Sol,Andalucía,2024-07-05,TripAdvisor,Neutro,3.4,Gastronomía,es,Amigos,2024,7,2024-07
Ronda,Andalucía,2024-07-05,TripAdvisor,Positivo,3.6,Alojamiento,es,Familia,2024,7,2024-07
Ronda,Andalucía,2024-07-05,TripAdvisor,Positivo,4.0,Masificación,es,Familia,2024,7,2024-07
Picos de Europa,Asturias/Cantabria,2024-07-06,Booking.com,Positivo,4.6,Transporte,fr,Pareja,2024,7,2024-07
Costa Brava,Cataluña,2024-07-06,TripAdvisor,Negativo,1.1,Atractivos,en,Amigos,2024,7,2024-07
Teruel,Aragón,2024-07-06,Booking.com,Negativo,2.3,Precio,es,Familia,2024,7,2024-07
Mallorca,Islas Baleares,2024-07-07,TripAdvisor,Positivo,3.9,Transporte,es,Pareja,2024,7,2024-07
Costa del Sol,Andalucía,2024-07-08,Booking.com,Negativo,1.6,Gastronomía,en,Familia,2024,7,2024-07
Mallorca,Islas Baleares,2024-07-08,TripAdvisor,Negativo,1.6,Transporte,es,Familia,2024,7,2024-07
Picos de Europa,Asturias/Cantabria,2024-07-09,Google Reviews,Positivo,3.8,Masificación,it,Pareja,2024,7,2024-07
Sevilla,Andalucía,2024-07-09,Booking.com,Positivo,4.6,Precio,es,Amigos,2024,7,2024-07
Mallorca,Islas Baleares,2024-07-09,TripAdvisor,Negativo,2.0,Gastronomía,es,Pareja,2024,7,2024-07
Sevilla,Andalucía,2024-07-09,Google Reviews,Neutro,3.2,Gastronomía,es,Pareja,2024,7,2024-07
Mallorca,Islas Baleares,2024-07-10,TripAdvisor,Negativo,1.2,Gastronomía,en,Amigos,2024,7,2024-07
Extremadura,Extremadura,2024-07-10,Booking.com,Positivo,3.9,Alojamiento,es,Amigos,2024,7,2024-07
San Sebastián,País Vasco,2024-07-10,Booking.com,Positivo,4.2,Transporte,de,Amigos,2024,7,2024-07
Barcelona,Cataluña,2024-07-10,Google Reviews,Negativo,1.4,Atractivos,fr,Pareja,2024,7,2024-07
Sevilla,Andalucía,2024-07-11,Google Reviews,Positivo,4.0,Limpieza,en,Amigos,2024,7,2024-07
Mallorca,Islas Baleares,2024-07-11,Google Reviews,Negativo,1.4,Transporte,en,Pareja,2024,7,2024-07
Teruel,Aragón,2024-07-12,Google Reviews,Positivo,3.5,Limpieza,en,Negocios,2024,7,2024-07
Costa Brava,Cataluña,2024-07-12,TripAdvisor,Positivo,4.0,Masificación,es,Pareja,2024,7,2024-07
Teruel,Aragón,2024-07-12,Airbnb,Positivo,4.6,Alojamiento,fr,Amigos,2024,7,2024-07
