destination,month,avg_temp_c,climate_comfort
Barcelona,1,10.1,58.4
Barcelona,2,11.5,63.2
Barcelona,3,13.5,70.2
Barcelona,4,15.2,76.2
Barcelona,5,19.0,89.5
Barcelona,6,23.4,95.1
Barcelona,7,26.2,85.3
Barcelona,8,26.8,83.2
Barcelona,9,23.0,96.5
Barcelona,10,20.5,94.8
Barcelona,11,15.7,77.9
Barcelona,12,12.0,65.0
Barcelona,13,17.8,85.3
Madrid,1,7.3,48.6
Madrid,2,9.3,55.6
Madrid,3,11.5,63.2
Madrid,4,15.1,75.8
Madrid,5,19.0,89.5
Madrid,6,23.6,94.4
Madrid,7,28.6,76.9
Madrid,8,28.1,78.6
Madrid,9,21.0,96.5
Madrid,10,17.4,83.9
Madrid,11,11.9,64.6
Madrid,12,8.1,51.4
Madrid,13,16.6,81.1
Mallorca,1,10.3,59.0
Mallorca,2,10.7,60.4
Mallorca,3,13.2,69.2
Mallorca,4,15.0,75.5
Mallorca,5,19.0,89.5
Mallorca,6,23.6,94.4
Mallorca,7,26.8,83.2
Mallorca,8,26.7,83.6
Mallorca,9,23.3,95.4
Mallorca,10,21.0,96.5
Mallorca,11,16.1,79.4
Mallorca,12,12.2,65.7
Mallorca,13,18.1,86.4
Tenerife,1,14.9,75.2
Tenerife,2,14.6,74.1
Tenerife,3,15.3,76.6
Tenerife,4,17.0,82.5
Tenerife,5,17.5,84.2
Tenerife,6,18.8,88.8
Tenerife,7,21.3,97.6
Tenerife,8,22.5,98.2
Tenerife,9,20.3,94.0
Tenerife,10,20.5,94.8
Tenerife,11,18.5,87.8
Tenerife,12,15.9,78.6
Tenerife,13,18.1,86.4
Sevilla,1,11.4,62.9
Sevilla,2,13.2,69.2
Sevilla,3,15.0,75.5
Sevilla,4,18.3,87.0
Sevilla,5,22.1,99.6
Sevilla,6,25.6,87.4
Sevilla,7,29.5,73.8
Sevilla,8,29.1,75.1
Sevilla,9,24.3,92.0
Sevilla,10,21.5,98.2
Sevilla,11,16.1,79.4
Sevilla,12,13.1,68.8
Sevilla,13,20.1,93.4
Valencia,1,12.5,66.8
Valencia,2,13.1,68.8
Valencia,3,15.2,76.2
Valencia,4,16.9,82.1
Valencia,5,20.1,93.4
Valencia,6,24.4,91.6
Valencia,7,27.3,81.4
Valencia,8,28.0,79.0
Valencia,9,24.5,91.2
Valencia,10,21.8,99.3
Valencia,11,18.0,86.0
Valencia,12,14.2,72.7
Valencia,13,19.7,92.0
Costa Brava,1,7.6,49.6
Costa Brava,2,9.7,57.0
Costa Brava,3,12.2,65.7
Costa Brava,4,14.0,72.0
Costa Brava,5,17.9,85.6
Costa Brava,6,23.0,96.5
Costa Brava,7,26.3,85.0
Costa Brava,8,26.4,84.6
Costa Brava,9,21.5,98.2
Costa Brava,10,19.3,90.6
Costa Brava,11,13.5,70.2
Costa Brava,12,9.4,55.9
Costa Brava,13,16.8,81.8
Costa del Sol,1,13.5,70.2
Costa del Sol,2,14.3,73.1
Costa del Sol,3,15.9,78.6
Costa del Sol,4,18.1,86.4
Costa del Sol,5,21.0,96.5
Costa del Sol,6,25.1,89.1
Costa del Sol,7,27.8,79.7
Costa del Sol,8,28.4,77.6
Costa del Sol,9,25.4,88.1
Costa del Sol,10,21.6,98.6
Costa del Sol,11,17.9,85.6
Costa del Sol,12,14.3,73.1
Costa del Sol,13,20.3,94.0
Granada,1,8.2,51.7
Granada,2,10.0,58.0
Granada,3,12.1,65.4
Granada,4,15.1,75.8
Granada,5,18.8,88.8
Granada,6,23.4,95.1
Granada,7,28.3,77.9
Granada,8,27.8,79.7
Granada,9,22.2,99.3
Granada,10,19.1,89.9
Granada,11,13.1,68.8
Granada,12,9.4,55.9
Granada,13,17.3,83.6
San Sebastián,1,8.9,54.2
San Sebastián,2,9.9,57.6
San Sebastián,3,12.1,65.4
San Sebastián,4,12.3,66.1
San Sebastián,5,15.1,75.8
San Sebastián,6,18.4,87.4
San Sebastián,7,20.0,93.0
San Sebastián,8,20.6,95.1
San Sebastián,9,18.8,88.8
San Sebastián,10,18.4,87.4
San Sebastián,11,13.5,70.2
San Sebastián,12,10.8,60.8
San Sebastián,13,14.9,75.2
Ronda,1,9.4,55.9
Ronda,2,11.2,62.2
Ronda,3,12.1,65.4
Ronda,4,15.5,77.2
Ronda,5,18.9,89.1
Ronda,6,22.5,98.2
Ronda,7,28.2,78.3
Ronda,8,27.6,80.4
Ronda,9,21.9,99.6
Ronda,10,20.3,94.0
Ronda,11,14.4,73.4
Ronda,12,11.8,64.3
Ronda,13,17.8,85.3
Extremadura,1,9.7,57.0
Extremadura,2,11.3,62.6
Extremadura,3,13.7,70.9
Extremadura,4,17.0,82.5
Extremadura,5,20.8,95.8
Extremadura,6,24.5,91.2
Extremadura,7,28.0,79.0
Extremadura,8,27.8,79.7
Extremadura,9,23.0,96.5
Extremadura,10,20.0,93.0
Extremadura,11,14.5,73.8
Extremadura,12,10.5,59.8
Extremadura,13,18.4,87.4
Picos de Europa,1,9.9,57.6
Picos de Europa,2,10.3,59.0
Picos de Europa,3,11.8,64.3
Picos de Europa,4,12.5,66.8
Picos de Europa,5,14.7,74.4
Picos de Europa,6,17.7,85.0
Picos de Europa,7,19.4,90.9
Picos de Europa,8,20.0,93.0
Picos de Europa,9,18.2,86.7
Picos de Europa,10,17.2,83.2
Picos de Europa,11,13.9,71.6
Picos de Europa,12,11.2,62.2
Picos de Europa,13,14.7,74.4
Teruel,1,4.9,40.1
Teruel,2,6.4,45.4
Teruel,3,9.5,56.2
Teruel,4,12.2,65.7
Teruel,5,16.0,79.0
Teruel,6,21.2,97.2
