destination,year,month,hotel_arrivals_ine,hotel_occupancy_pct_real
Barcelona,2024,12,930850000,42.7
Barcelona,2025,1,1025854000,47.0
Barcelona,2025,2,1194563500,54.7
Barcelona,2025,3,1571547500,72.0
Barcelona,2025,4,1798769000,82.4
Barcelona,2025,5,1902213500,87.2
Barcelona,2025,6,2015890000,92.4
Barcelona,2025,7,2073002500,95.0
Barcelona,2025,8,1747993500,80.1
Barcelona,2025,9,1726648500,79.1
Barcelona,2025,10,1154582500,52.9
Barcelona,2025,11,1093576000,50.1
Barcelona,2025,12,1022724000,46.9
Barcelona,2026,1,1101436000,50.5
Barcelona,2026,2,1321685000,60.6
Barcelona,2026,3,1595132500,73.1
Costa Brava,2024,12,665229333,39.3
Costa Brava,2025,1,738406333,43.7
Costa Brava,2025,2,869818333,51.5
Costa Brava,2025,3,1180031000,69.8
Costa Brava,2025,4,1357933333,80.3
Costa Brava,2025,5,1454090667,86.0
Costa Brava,2025,6,1549376333,91.6
Costa Brava,2025,7,1606056000,95.0
Costa Brava,2025,8,1338270667,79.2
Costa Brava,2025,9,1279820333,75.7
Costa Brava,2025,10,824006333,48.7
Costa Brava,2025,11,782277667,46.3
Costa Brava,2025,12,726347000,43.0
Costa Brava,2026,1,789362000,46.7
Costa Brava,2026,2,968272667,57.3
Costa Brava,2026,3,1199460000,70.9
Costa del Sol,2024,12,632704500,39.9
Costa del Sol,2025,1,770331500,48.6
Costa del Sol,2025,2,920985000,58.1
Costa del Sol,2025,3,1231093000,77.7
Costa del Sol,2025,4,1331840500,84.1
Costa del Sol,2025,5,1332477000,84.1
Costa del Sol,2025,6,1395032000,88.1
Costa del Sol,2025,7,1504770500,95.0
Costa del Sol,2025,8,1348687500,85.1
Costa del Sol,2025,9,1261114500,79.6
Costa del Sol,2025,10,850461000,53.7
Costa del Sol,2025,11,763022500,48.2
Costa del Sol,2025,12,653982000,41.3
Costa del Sol,2026,1,757518000,47.8
Costa del Sol,2026,2,1028655000,64.9
Costa del Sol,2026,3,1274240500,80.4
Extremadura,2024,12,45876333,41.4
Extremadura,2025,1,60188667,54.3
Extremadura,2025,2,70103333,63.2
Extremadura,2025,3,92262000,83.2
Extremadura,2025,4,90967000,82.0
Extremadura,2025,5,83255000,75.1
Extremadura,2025,6,91910667,82.9
Extremadura,2025,7,105325667,95.0
Extremadura,2025,8,86924000,78.4
Extremadura,2025,9,88442667,79.8
Extremadura,2025,10,70765333,63.8
Extremadura,2025,11,62176333,56.1
Extremadura,2025,12,49350000,44.5
Extremadura,2026,1,54608667,49.3
Extremadura,2026,2,76317333,68.8
Extremadura,2026,3,92870667,83.8
Granada,2024,12,594652500,44.3
Granada,2025,1,703948500,52.4
Granada,2025,2,815039500,60.7
Granada,2025,3,1061828000,79.0
Granada,2025,4,1141924000,85.0
Granada,2025,5,1147916500,85.4
Granada,2025,6,1179711000,87.8
Granada,2025,7,1276505000,95.0
Granada,2025,8,1158642500,86.2
Granada,2025,9,1086437000,80.9
Granada,2025,10,756081000,56.3
Granada,2025,11,708085000,52.7
Granada,2025,12,612867500,45.6
Granada,2026,1,687731000,51.2
Granada,2026,2,905618500,67.4
Granada,2026,3,1106831500,82.4
Madrid,2024,12,928395000,70.9
Madrid,2025,1,936428000,71.5
Madrid,2025,2,1063918000,81.2
Madrid,2025,3,1147256000,87.6
Madrid,2025,4,1213258000,92.6
Madrid,2025,5,1202428000,91.8
