osm_id,destination,category,name,lat,lon,tourism,amenity,historic,leisure,railway,stars,cuisine,website,opening_hours
192066541,Barcelona,accommodation,Hotel Millenni,41.3759505,2.1670539,hotel,,,,,4,,,
192067263,Barcelona,accommodation,Hotel Barcelona Universal,41.3751971,2.1682509,hotel,,,,,4,,,
194544630,Barcelona,accommodation,Stay Together,41.3752662,2.1673005,apartment,,,,,,,,
199125462,Barcelona,accommodation,Hotel Paral·lel,41.3747759,2.1661966,hotel,,,,,2,,,
269337338,Barcelona,accommodation,Novotel Cornella,41.3516118,2.0904489,hotel,,,,,,,,
364735661,Barcelona,accommodation,Gran Hotel Catalonia,41.3938035,2.1567229,hotel,,,,,,,,
367695151,Barcelona,accommodation,Villa Emilia,41.3802157,2.1539506,hotel,,,,,,,,
478867119,Barcelona,accommodation,ibis Barcelona Meridiana,41.4354066,2.181653,hotel,,,,,,,,
536686095,Barcelona,accommodation,Hostal Barcelona,41.3728426,2.1661693,hotel,,,,,,,,
570814718,Barcelona,accommodation,Hostal Kabul,41.3796661,2.175241,hostel,,,,,,,,
672090818,Barcelona,accommodation,Pensión Las Flores,41.3813647,2.1727626,hotel,,,,,,,,
672398204,Barcelona,accommodation,Hotel Royal,41.3842853,2.1705638,hotel,,,,,4,,,
672892910,Barcelona,accommodation,Hotel Glòries,41.4011223,2.1829564,hotel,,,,,,,,
673390239,Barcelona,accommodation,Hotel Ayre Casp,41.3960634,2.1794666,hotel,,,,,1,,http://www.ayrehoteles.com,
673978997,Barcelona,accommodation,Hosteria Grau,41.3846255,2.1681611,hotel,,,,,2,,,
674096751,Barcelona,accommodation,Hotel Sir Victor,41.3962081,2.1609608,hotel,,,,,4,,,
674141698,Barcelona,accommodation,Hotel Suites Avenue,41.3942863,2.16178,hotel,,,,,5,,,
674650370,Barcelona,accommodation,Eurostars Grand Marina Hotel,41.3717119,2.1808851,hotel,,,,,5,,https://www.eurostarshotels.com/eurostars-grand-marina.html,
675181314,Barcelona,accommodation,Hotel Attica 21,41.4051323,2.2118586,hotel,,,,,4,,,
691591937,Barcelona,accommodation,Hotel Continental,41.3850332,2.1707068,hotel,,,,,1,,,
698062668,Barcelona,accommodation,Hotel sb Diagonal Zero,41.4120729,2.2196461,hotel,,,,,4,,https://www.hoteldiagonalzero.com/,
704049114,Barcelona,accommodation,H10 Catalunya Plaza,41.3870001,2.1684561,hotel,,,,,3,,,
704063685,Barcelona,accommodation,Club 29,41.3908058,2.1660695,hotel,,,,,,,https://hiddenhotels.com/hotel-club-29/,
704064994,Barcelona,accommodation,Hotel Continental Palacete,41.38971,2.1655726,hotel,,,,,,,,
