destination,region,date,platform,sentiment,score,aspect,language,reviewer_type
Costa Brava,Cataluña,2024-06-20,TripAdvisor,Negativo,1.1,Gastronomía,es,Familia
Costa del Sol,Andalucía,2024-06-20,Google Reviews,Positivo,5.0,Alojamiento,en,Pareja
Mallorca,Islas Baleares,2024-06-20,Google Reviews,Negativo,2.2,Masificación,en,Pareja
San Sebastián,País Vasco,2024-06-21,TripAdvisor,Neutro,2.7,Limpieza,fr,Pareja
Ronda,Andalucía,2024-06-21,Airbnb,Negativo,1.6,Atractivos,fr,Pareja
San Sebastián,País Vasco,2024-06-21,Booking.com,Neutro,3.4,Atractivos,fr,Solo
Extremadura,Extremadura,2024-06-22,Google Reviews,Positivo,3.7,Transporte,en,Pareja
Teruel,Aragón,2024-06-22,Booking.com,Positivo,4.1,Masificación,en,Amigos
Granada,Andalucía,2024-06-22,Google Reviews,Negativo,1.9,Limpieza,de,Familia
Costa del Sol,Andalucía,2024-06-22,Airbnb,Positivo,3.7,Gastronomía,it,Pareja
San Sebastián,País Vasco,2024-06-24,Google Reviews,Positivo,4.9,Atractivos,en,Negocios
Costa Brava,Cataluña,2024-06-24,TripAdvisor,Negativo,1.6,Precio,de,Pareja
Madrid,Madrid,2024-06-25,Booking.com,Positivo,4.8,Precio,fr,Pareja
Tenerife,Islas Canarias,2024-06-25,TripAdvisor,Positivo,3.6,Alojamiento,fr,Pareja
Tenerife,Islas Canarias,2024-06-26,Google Reviews,Negativo,1.5,Transporte,it,Amigos
Granada,Andalucía,2024-06-26,Airbnb,Positivo,3.7,Transporte,de,Amigos
Mallorca,Islas Baleares,2024-06-27,Google Reviews,Positivo,3.5,Precio,es,Pareja
Picos de Europa,Asturias/Cantabria,2024-06-27,Google Reviews,Positivo,4.5,Precio,es,Familia
Valencia,Comunidad Valenciana,2024-06-27,Airbnb,Positivo,4.8,Limpieza,en,Pareja
Barcelona,Cataluña,2024-06-27,Google Reviews,Negativo,1.3,Atractivos,it,Solo
Extremadura,Extremadura,2024-06-28,Google Reviews,Neutro,3.2,Gastronomía,es,Negocios
Valencia,Comunidad Valenciana,2024-06-29,Airbnb,Positivo,4.6,Alojamiento,es,Negocios
Sevilla,Andalucía,2024-06-29,Booking.com,Positivo,3.8,Precio,en,Pareja
Costa Brava,Cataluña,2024-06-30,Google Reviews,Negativo,2.0,Gastronomía,es,Amigos
Sevilla,Andalucía,2024-06-30,Airbnb,Positivo,4.0,Gastronomía,es,Pareja
Picos de Europa,Asturias/Cantabria,2024-06-30,Booking.com,Positivo,3.5,Gastronomía,fr,Familia
Costa del Sol,Andalucía,2024-07-01,Booking.com,Positivo,4.2,Precio,de,Negocios
Granada,Andalucía,2024-07-01,Google Reviews,Positivo,4.8,Precio,en,Pareja
Granada,Andalucía,2024-07-01,Google Reviews,Positivo,3.5,Precio,fr,Pareja
Costa del Sol,Andalucía,2024-07-02,Google Reviews,Negativo,2.2,Masificación,es,Solo
Sevilla,Andalucía,2024-07-03,Google Reviews,Positivo,4.9,Masificación,es,Pareja
Ronda,Andalucía,2024-07-05,Google Reviews,Positivo,3.8,Gastronomía,es,Familia
Costa del Sol,Andalucía,2024-07-05,TripAdvisor,Neutro,3.4,Gastronomía,es,Amigos
