destination,region,destination_type,year,month,period,season,visitors,congestion_index,hotel_occupancy_pct,avg_daily_spend_eur,sentiment_score,review_volume,esg_score,capacity_index
Barcelona,Cataluña,urban,2023,1,2023-01,low,4807,29.4,29.4,118.05,4.18,429,54.2,92
Barcelona,Cataluña,urban,2023,2,2023-02,low,4443,26.6,27.0,184.39,4.15,767,63.6,92
Barcelona,Cataluña,urban,2023,3,2023-03,shoulder,8358,50.0,50.1,178.77,3.42,1360,49.8,92
Barcelona,Cataluña,urban,2023,4,2023-04,shoulder,9954,54.3,46.6,207.0,3.63,990,63.0,92
Barcelona,Cataluña,urban,2023,5,2023-05,shoulder,9337,52.4,49.5,141.73,3.64,1051,71.5,92
Barcelona,Cataluña,urban,2023,6,2023-06,high,11854,71.3,72.5,217.23,3.47,1742,43.9,92
Barcelona,Cataluña,urban,2023,7,2023-07,peak,15529,97.3,96.0,191.8,3.89,1844,60.7,92
Barcelona,Cataluña,urban,2023,8,2023-08,peak,15090,78.4,78.9,110.54,3.92,2210,52.4,92
Barcelona,Cataluña,urban,2023,9,2023-09,high,13224,65.1,62.7,228.14,4.4,1941,54.0,92
Barcelona,Cataluña,urban,2023,10,2023-10,shoulder,9233,50.0,46.9,164.28,4.08,1019,68.3,92
Barcelona,Cataluña,urban,2023,11,2023-11,low,4771,29.3,26.7,205.3,3.35,409,66.3,92
Barcelona,Cataluña,urban,2023,12,2023-12,low,4945,28.9,25.5,203.34,4.05,596,53.6,92
Barcelona,Cataluña,urban,2024,1,2024-01,low,4398,28.4,25.0,181.8,3.99,422,63.4,92
Barcelona,Cataluña,urban,2024,2,2024-02,low,4815,26.1,22.6,99.38,3.63,688,42.1,92
Barcelona,Cataluña,urban,2024,3,2024-03,shoulder,9935,54.5,54.8,244.19,3.44,1058,66.9,92
Barcelona,Cataluña,urban,2024,4,2024-04,shoulder,8835,46.5,41.4,221.94,3.42,1504,63.2,92
Barcelona,Cataluña,urban,2024,5,2024-05,shoulder,9114,45.2,42.4,155.52,3.22,1420,58.3,92
Barcelona,Cataluña,urban,2024,6,2024-06,high,13272,74.5,70.7,191.86,3.39,1613,68.0,92
Barcelona,Cataluña,urban,2024,7,2024-07,peak,14874,80.6,77.9,136.26,3.32,1443,41.5,92
Barcelona,Cataluña,urban,2024,8,2024-08,peak,16616,78.7,68.2,196.39,3.21,2130,82.0,92
Barcelona,Cataluña,urban,2024,9,2024-09,high,12980,79.8,73.1,194.17,3.4,1652,53.0,92
Barcelona,Cataluña,urban,2024,10,2024-10,shoulder,8812,43.3,41.6,173.5,4.23,1494,37.9,92
Barcelona,Cataluña,urban,2024,11,2024-11,low,5080,25.4,22.1,187.51,3.91,775,52.0,92
Barcelona,Cataluña,urban,2024,12,2024-12,low,4562,23.7,24.0,141.36,3.51,534,47.2,92
Barcelona,Cataluña,urban,2025,1,2025-01,low,5408,25.5,22.5,149.44,3.74,571,52.5,92
Barcelona,Cataluña,urban,2025,2,2025-02,low,4802,30.3,31.2,188.95,3.87,743,61.4,92
Barcelona,Cataluña,urban,2025,3,2025-03,shoulder,8548,52.8,52.7,201.98,3.64,1003,60.2,92
Barcelona,Cataluña,urban,2025,4,2025-04,shoulder,9881,46.1,40.8,172.49,4.46,1611,75.5,92
Barcelona,Cataluña,urban,2025,5,2025-05,shoulder,9748,45.5,43.2,162.06,3.44,1537,56.0,92
Barcelona,Cataluña,urban,2025,6,2025-06,high,11491,66.8,63.5,81.78,3.84,1697,47.9,92
Barcelona,Cataluña,urban,2025,7,2025-07,peak,16578,82.8,72.5,116.88,3.67,2512,52.2,92
Barcelona,Cataluña,urban,2025,8,2025-08,peak,15485,89.4,92.6,173.7,4.02,2718,55.3,92
Barcelona,Cataluña,urban,2025,9,2025-09,high,13181,74.2,77.4,192.26,3.37,1239,80.5,92
Barcelona,Cataluña,urban,2025,10,2025-10,shoulder,9873,53.2,46.4,196.5,3.21,1564,49.3,92
Barcelona,Cataluña,urban,2025,11,2025-11,low,5226,25.1,23.2,155.52,3.73,734,71.5,92
Barcelona,Cataluña,urban,2025,12,2025-12,low,5056,29.4,29.4,118.77,3.21,529,80.0,92
Barcelona,Cataluña,urban,2026,1,2026-01,low,4416,23.9,21.8,265.01,3.65,417,55.1,92
Barcelona,Cataluña,urban,2026,2,2026-02,low,5371,24.6,21.0,114.53,3.65,512,54.8,92
Barcelona,Cataluña,urban,2026,3,2026-03,shoulder,8245,43.7,39.9,188.73,3.99,1220,58.6,92
Barcelona,Cataluña,urban,2026,4,2026-04,shoulder,9749,53.8,48.4,317.64,3.93,956,76.9,92
Madrid,Madrid,urban,2023,1,2023-01,low,8763,20.2,20.9,187.55,3.36,1431,37.1,78
Madrid,Madrid,urban,2023,2,2023-02,low,9680,25.2,24.6,187.59,3.36,1550,54.5,78
Madrid,Madrid,urban,2023,3,2023-03,shoulder,14957,42.2,39.1,54.87,3.86,2479,60.1,78
Madrid,Madrid,urban,2023,4,2023-04,shoulder,15476,38.0,35.1,256.23,3.1,1883,68.4,78
Madrid,Madrid,urban,2023,5,2023-05,shoulder,15716,40.5,41.9,236.19,3.38,1723,78.8,78
Madrid,Madrid,urban,2023,6,2023-06,high,22865,61.4,58.7,214.05,4.5,3321,58.8,78
Madrid,Madrid,urban,2023,7,2023-07,peak,28294,80.6,78.4,166.29,3.33,4229,67.0,78
Madrid,Madrid,urban,2023,8,2023-08,peak,31424,67.9,68.6,120.27,3.17,2945,76.1,78
Madrid,Madrid,urban,2023,9,2023-09,high,25465,65.4,56.9,118.18,3.39,2682,61.7,78
Madrid,Madrid,urban,2023,10,2023-10,shoulder,16651,42.6,43.0,178.61,2.88,2202,77.4,78
Madrid,Madrid,urban,2023,11,2023-11,low,9156,25.3,24.9,244.44,4.04,839,68.2,78
Madrid,Madrid,urban,2023,12,2023-12,low,9531,23.8,21.5,186.22,4.23,1618,47.6,78
Madrid,Madrid,urban,2024,1,2024-01,low,8544,20.8,19.3,125.59,3.95,1483,75.8,78
Madrid,Madrid,urban,2024,2,2024-02,low,9056,25.4,26.6,175.76,3.88,1158,68.3,78
Madrid,Madrid,urban,2024,3,2024-03,shoulder,18170,37.7,36.5,81.28,4.73,2611,52.5,78
Madrid,Madrid,urban,2024,4,2024-04,shoulder,14476,41.3,38.8,100.14,3.16,1585,63.3,78
Madrid,Madrid,urban,2024,5,2024-05,shoulder,18042,44.8,40.7,177.78,3.23,3242,63.5,78
Madrid,Madrid,urban,2024,6,2024-06,high,21595,68.6,70.6,210.87,3.54,3131,64.4,78
Madrid,Madrid,urban,2024,7,2024-07,peak,27955,69.1,67.8,156.76,3.88,2790,54.8,78
Madrid,Madrid,urban,2024,8,2024-08,peak,26271,67.3,68.6,105.73,3.0,4207,49.9,78
Madrid,Madrid,urban,2024,9,2024-09,high,25570,67.5,57.9,237.49,3.88,3830,48.8,78
Madrid,Madrid,urban,2024,10,2024-10,shoulder,14919,41.9,36.9,135.96,4.34,2133,40.2,78
Madrid,Madrid,urban,2024,11,2024-11,low,8284,21.5,18.5,110.41,4.12,1474,45.5,78
Madrid,Madrid,urban,2024,12,2024-12,low,7960,25.1,22.2,146.86,3.07,774,45.2,78
Madrid,Madrid,urban,2025,1,2025-01,low,8854,24.5,25.4,192.2,3.72,1215,53.9,78
Madrid,Madrid,urban,2025,2,2025-02,low,9110,24.0,22.8,193.21,3.67,1585,62.2,78
Madrid,Madrid,urban,2025,3,2025-03,shoulder,16293,37.7,35.3,225.7,3.83,1756,62.0,78
Madrid,Madrid,urban,2025,4,2025-04,shoulder,16925,40.9,37.3,78.02,3.47,1722,52.5,78
Madrid,Madrid,urban,2025,5,2025-05,shoulder,16074,41.6,41.2,191.53,4.24,2206,54.6,78
Madrid,Madrid,urban,2025,6,2025-06,high,24720,58.0,56.5,121.68,3.66,3335,89.2,78
Madrid,Madrid,urban,2025,7,2025-07,peak,29901,80.7,77.0,172.57,3.84,5146,48.6,78
Madrid,Madrid,urban,2025,8,2025-08,peak,28482,82.6,74.9,192.42,4.07,4676,63.4,78
Madrid,Madrid,urban,2025,9,2025-09,high,21976,57.9,59.2,81.87,3.07,1790,74.4,78
Madrid,Madrid,urban,2025,10,2025-10,shoulder,15032,42.9,45.0,149.74,3.2,1751,63.2,78
Madrid,Madrid,urban,2025,11,2025-11,low,8537,23.9,20.4,179.89,3.18,1014,67.5,78
Madrid,Madrid,urban,2025,12,2025-12,low,8996,20.8,20.0,251.61,3.52,1472,47.3,78
Madrid,Madrid,urban,2026,1,2026-01,low,9995,20.7,20.7,243.46,4.36,1191,61.1,78
Madrid,Madrid,urban,2026,2,2026-02,low,8877,20.8,18.6,196.44,3.42,1515,65.6,78
Madrid,Madrid,urban,2026,3,2026-03,shoulder,16356,42.8,43.6,96.15,2.84,1446,61.0,78
Madrid,Madrid,urban,2026,4,2026-04,shoulder,16982,43.7,41.8,127.94,3.74,1457,66.0,78
Mallorca,Islas Baleares,island,2023,1,2023-01,low,11288,27.5,26.6,164.74,4.61,1472,45.6,88
Mallorca,Islas Baleares,island,2023,2,2023-02,low,10902,25.7,26.6,176.09,3.59,986,58.6,88
Mallorca,Islas Baleares,island,2023,3,2023-03,shoulder,19174,45.2,42.5,148.13,4.1,1581,60.3,88
Mallorca,Islas Baleares,island,2023,4,2023-04,shoulder,21274,41.2,43.1,188.61,3.9,3197,74.0,88
Mallorca,Islas Baleares,island,2023,5,2023-05,shoulder,20671,50.4,50.7,123.95,3.95,3143,45.1,88
Mallorca,Islas Baleares,island,2023,6,2023-06,high,27430,72.7,75.9,190.8,3.33,3711,43.3,88
Mallorca,Islas Baleares,island,2023,7,2023-07,peak,35867,90.9,86.2,159.14,3.14,3016,67.8,88
Mallorca,Islas Baleares,island,2023,8,2023-08,peak,37470,96.3,92.6,240.7,4.01,5971,50.4,88
Mallorca,Islas Baleares,island,2023,9,2023-09,high,33311,74.3,64.8,205.33,3.98,3906,60.8,88
Mallorca,Islas Baleares,island,2023,10,2023-10,shoulder,21847,50.5,43.4,213.77,3.48,3363,50.6,88
Mallorca,Islas Baleares,island,2023,11,2023-11,low,11668,28.1,24.1,149.72,3.81,1533,51.6,88
Mallorca,Islas Baleares,island,2023,12,2023-12,low,12412,26.9,27.4,256.86,3.38,2051,53.1,88
Mallorca,Islas Baleares,island,2024,1,2024-01,low,11582,25.1,21.7,126.01,3.69,1953,64.3,88
Mallorca,Islas Baleares,island,2024,2,2024-02,low,11928,27.8,24.4,163.29,4.62,1307,65.4,88
Mallorca,Islas Baleares,island,2024,3,2024-03,shoulder,23265,49.6,47.1,160.73,3.11,2774,55.9,88
Mallorca,Islas Baleares,island,2024,4,2024-04,shoulder,20111,42.0,41.0,137.75,4.03,1644,72.6,88
Mallorca,Islas Baleares,island,2024,5,2024-05,shoulder,20386,52.7,54.3,163.04,3.79,2733,37.5,88
Mallorca,Islas Baleares,island,2024,6,2024-06,high,28963,75.8,74.4,217.19,3.59,4467,49.4,88
Mallorca,Islas Baleares,island,2024,7,2024-07,peak,35442,81.9,78.8,197.99,3.94,5934,62.7,88
Mallorca,Islas Baleares,island,2024,8,2024-08,peak,40362,84.4,85.5,154.45,4.05,7243,52.0,88
Mallorca,Islas Baleares,island,2024,9,2024-09,high,32316,63.1,65.7,157.45,4.12,2914,61.8,88
Mallorca,Islas Baleares,island,2024,10,2024-10,shoulder,20449,41.6,37.4,141.91,2.9,1846,46.4,88
Mallorca,Islas Baleares,island,2024,11,2024-11,low,11214,25.8,24.0,129.98,4.25,954,70.6,88
Mallorca,Islas Baleares,island,2024,12,2024-12,low,11875,23.8,20.2,210.59,4.02,1418,66.4,88
Mallorca,Islas Baleares,island,2025,1,2025-01,low,12323,22.4,21.0,104.39,3.72,1589,53.8,88
Mallorca,Islas Baleares,island,2025,2,2025-02,low,12264,24.2,23.8,107.6,4.25,1278,75.5,88
Mallorca,Islas Baleares,island,2025,3,2025-03,shoulder,19939,52.4,46.1,201.0,3.34,2513,64.6,88
Mallorca,Islas Baleares,island,2025,4,2025-04,shoulder,18978,52.3,45.6,218.25,3.86,1875,31.0,88
Mallorca,Islas Baleares,island,2025,5,2025-05,shoulder,19494,48.0,49.0,184.24,3.39,3215,79.6,88
Mallorca,Islas Baleares,island,2025,6,2025-06,high,27783,73.4,69.1,165.11,3.44,2929,82.6,88
Mallorca,Islas Baleares,island,2025,7,2025-07,peak,42183,82.8,80.3,210.21,3.43,4717,73.0,88
Mallorca,Islas Baleares,island,2025,8,2025-08,peak,37008,81.8,69.8,93.82,4.05,3071,51.3,88
Mallorca,Islas Baleares,island,2025,9,2025-09,high,31864,72.3,70.0,191.75,4.49,3559,58.1,88
Mallorca,Islas Baleares,island,2025,10,2025-10,shoulder,19006,49.5,42.1,116.92,3.96,2484,57.0,88
Mallorca,Islas Baleares,island,2025,11,2025-11,low,12677,26.3,25.2,181.61,3.8,2151,45.0,88
Mallorca,Islas Baleares,island,2025,12,2025-12,low,10719,22.8,23.2,198.28,3.3,1173,56.5,88
Mallorca,Islas Baleares,island,2026,1,2026-01,low,11596,24.0,23.0,138.9,4.21,1221,62.1,88
Mallorca,Islas Baleares,island,2026,2,2026-02,low,11819,27.2,25.4,119.73,4.24,1841,60.6,88
Mallorca,Islas Baleares,island,2026,3,2026-03,shoulder,18351,50.8,52.2,149.32,3.9,2216,53.2,88
Mallorca,Islas Baleares,island,2026,4,2026-04,shoulder,21694,42.9,43.9,248.55,3.34,2122,61.8,88
Tenerife,Islas Canarias,island,2023,1,2023-01,low,9236,23.8,22.7,178.4,3.06,1550,72.6,82
Tenerife,Islas Canarias,island,2023,2,2023-02,low,10472,25.7,26.3,158.95,4.42,947,47.3,82
Tenerife,Islas Canarias,island,2023,3,2023-03,shoulder,16443,40.6,37.6,267.13,4.53,1353,79.0,82
Tenerife,Islas Canarias,island,2023,4,2023-04,shoulder,19882,42.8,39.9,217.24,3.95,2800,69.6,82
Tenerife,Islas Canarias,island,2023,5,2023-05,shoulder,20090,43.6,38.2,190.12,4.16,2365,62.0,82
Tenerife,Islas Canarias,island,2023,6,2023-06,high,27630,61.3,61.4,108.64,4.07,2883,59.0,82
Tenerife,Islas Canarias,island,2023,7,2023-07,peak,31311,73.8,66.6,149.24,3.26,4139,61.3,82
Tenerife,Islas Canarias,island,2023,8,2023-08,peak,32926,89.4,80.5,84.2,3.83,4265,55.3,82
Tenerife,Islas Canarias,island,2023,9,2023-09,high,28139,70.1,73.0,124.32,3.89,5021,44.9,82
Tenerife,Islas Canarias,island,2023,10,2023-10,shoulder,16608,41.8,40.7,96.25,3.63,1489,51.3,82
Tenerife,Islas Canarias,island,2023,11,2023-11,low,9124,22.5,22.4,144.92,3.68,1507,63.7,82
Tenerife,Islas Canarias,island,2023,12,2023-12,low,9615,23.4,24.3,252.13,3.84,1511,82.7,82
Tenerife,Islas Canarias,island,2024,1,2024-01,low,10865,21.5,20.1,141.34,3.83,1788,64.7,82
Tenerife,Islas Canarias,island,2024,2,2024-02,low,9315,25.3,24.2,131.34,4.26,1559,74.4,82
Tenerife,Islas Canarias,island,2024,3,2024-03,shoulder,17076,40.2,38.3,149.88,3.45,2882,80.6,82
Tenerife,Islas Canarias,island,2024,4,2024-04,shoulder,18320,44.4,46.2,177.22,3.71,1706,72.0,82
Tenerife,Islas Canarias,island,2024,5,2024-05,shoulder,20168,40.2,34.4,172.77,4.04,2032,68.4,82
Tenerife,Islas Canarias,island,2024,6,2024-06,high,29105,61.0,58.4,190.63,4.0,3681,62.0,82
Tenerife,Islas Canarias,island,2024,7,2024-07,peak,36951,86.5,89.4,198.32,2.34,4688,44.1,82
Tenerife,Islas Canarias,island,2024,8,2024-08,peak,29501,76.7,77.4,176.84,3.61,4197,77.4,82
Tenerife,Islas Canarias,island,2024,9,2024-09,high,29149,62.9,57.0,112.31,3.76,2338,49.1,82
Tenerife,Islas Canarias,island,2024,10,2024-10,shoulder,18007,39.8,41.2,187.5,3.69,2579,46.0,82
Tenerife,Islas Canarias,island,2024,11,2024-11,low,10460,23.7,24.7,197.95,3.64,1464,39.6,82
Tenerife,Islas Canarias,island,2024,12,2024-12,low,9153,25.1,25.8,110.44,3.95,769,54.4,82
Tenerife,Islas Canarias,island,2025,1,2025-01,low,10302,22.8,21.2,239.19,4.39,1201,62.2,82
Tenerife,Islas Canarias,island,2025,2,2025-02,low,10445,24.0,22.1,174.13,3.85,1273,53.0,82
Tenerife,Islas Canarias,island,2025,3,2025-03,shoulder,17928,39.8,39.1,159.18,3.94,2630,62.5,82
Tenerife,Islas Canarias,island,2025,4,2025-04,shoulder,17432,40.6,39.9,127.45,3.6,2894,58.6,82
Tenerife,Islas Canarias,island,2025,5,2025-05,shoulder,17208,39.9,35.5,191.9,4.05,2537,65.4,82
Tenerife,Islas Canarias,island,2025,6,2025-06,high,27737,71.4,65.3,176.71,2.93,2926,72.3,82
Tenerife,Islas Canarias,island,2025,7,2025-07,peak,32276,83.8,81.4,176.87,3.99,3873,51.3,82
Tenerife,Islas Canarias,island,2025,8,2025-08,peak,36533,87.2,85.2,210.01,3.42,4912,48.9,82
Tenerife,Islas Canarias,island,2025,9,2025-09,high,24834,70.7,70.7,197.65,4.02,4081,55.6,82
Tenerife,Islas Canarias,island,2025,10,2025-10,shoulder,19336,43.8,39.7,184.03,3.25,2011,59.4,82
Tenerife,Islas Canarias,island,2025,11,2025-11,low,10126,23.4,20.7,230.54,4.38,1636,57.3,82
Tenerife,Islas Canarias,island,2025,12,2025-12,low,9531,25.8,22.5,167.61,4.38,894,55.2,82
Tenerife,Islas Canarias,island,2026,1,2026-01,low,11109,22.1,22.9,309.94,3.89,1358,75.2,82
Tenerife,Islas Canarias,island,2026,2,2026-02,low,8897,21.8,21.4,182.16,3.97,952,41.2,82
Tenerife,Islas Canarias,island,2026,3,2026-03,shoulder,19641,40.3,39.8,177.33,3.69,2655,60.2,82
Tenerife,Islas Canarias,island,2026,4,2026-04,shoulder,20338,49.6,51.9,200.35,3.77,1820,72.9,82
Sevilla,Andalucía,urban,2023,1,2023-01,low,5000,18.4,18.7,204.55,4.01,576,48.5,71
Sevilla,Andalucía,urban,2023,2,2023-02,low,4990,19.8,20.4,119.13,4.39,799,59.2,71
Sevilla,Andalucía,urban,2023,3,2023-03,shoulder,10185,34.1,29.4,126.68,3.66,1358,58.0,71
Sevilla,Andalucía,urban,2023,4,2023-04,shoulder,9193,40.8,36.0,253.89,3.73,1335,55.1,71
Sevilla,Andalucía,urban,2023,5,2023-05,shoulder,10144,41.2,38.3,235.93,3.69,1642,73.5,71
Sevilla,Andalucía,urban,2023,6,2023-06,high,12789,59.0,54.5,251.47,3.76,1982,34.0,71
Sevilla,Andalucía,urban,2023,7,2023-07,peak,15786,73.7,65.2,154.53,4.08,1398,70.4,71
Sevilla,Andalucía,urban,2023,8,2023-08,peak,16561,77.9,72.4,204.41,3.91,2407,58.0,71
Sevilla,Andalucía,urban,2023,9,2023-09,high,15130,60.7,55.1,155.5,3.23,1544,39.9,71
Sevilla,Andalucía,urban,2023,10,2023-10,shoulder,9485,38.6,33.2,153.27,4.78,1432,44.2,71
Sevilla,Andalucía,urban,2023,11,2023-11,low,5075,19.5,18.8,98.49,3.4,790,59.8,71
Sevilla,Andalucía,urban,2023,12,2023-12,low,4812,20.9,18.0,135.36,3.27,656,57.9,71
Sevilla,Andalucía,urban,2024,1,2024-01,low,4740,22.9,21.6,165.75,3.95,460,70.1,71
Sevilla,Andalucía,urban,2024,2,2024-02,low,5624,18.4,18.2,115.64,4.57,779,75.8,71
Sevilla,Andalucía,urban,2024,3,2024-03,shoulder,8438,35.2,36.0,167.53,3.61,823,49.9,71
Sevilla,Andalucía,urban,2024,4,2024-04,shoulder,9024,33.7,30.1,213.12,4.71,960,55.8,71
Sevilla,Andalucía,urban,2024,5,2024-05,shoulder,10299,34.2,29.9,68.54,3.25,942,73.9,71
Sevilla,Andalucía,urban,2024,6,2024-06,high,14408,59.9,55.7,130.72,3.96,2588,66.7,71
Sevilla,Andalucía,urban,2024,7,2024-07,peak,18802,70.6,67.0,120.49,4.03,1824,59.0,71
